Mult = 25.8716535 	Temp = b'\n'
Mult = 25.7997947 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128221  \n'
Mult = 25.8014282 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128264  \n'
Mult = 25.8030025 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128170  \n'
Mult = 25.8035173 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128251  \n'
Mult = 25.8045756 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128245  \n'
Mult = 25.8062661 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128413  \n'
Mult = 25.8077669 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128305  \n'
Mult = 25.8097671 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128368  \n'
Mult = 25.8122246 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128367  \n'
Mult = 25.8152201 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128351  \n'
Mult = 25.8183407 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128346  \n'
Mult = 25.8215373 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128413  \n'
Mult = 25.8245877 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128317  \n'
Mult = 25.8273454 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128297  \n'
Mult = 25.8302965 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128308  \n'
Mult = 25.8331228 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128428  \n'
Mult = 25.8357258 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128331  \n'
Mult = 25.8380572 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128275  \n'
Mult = 25.8398951 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128369  \n'
Mult = 25.8415248 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128300  \n'
Mult = 25.8436624 	Temp = b'\r0x7fffff 8388607 2.048000  Temperature = 0.128389  \n'
Mult = 25.8579691 	b' \n'
Mult = 25.8591721 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128447  \n'
Mult = 25.8608416 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128481  \n'
Mult = 25.8627692 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128322  \n'
Mult = 25.8644213 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128501  \n'
Mult = 25.8657112 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128387  \n'
Mult = 25.8670224 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128535  \n'
Mult = 25.8687963 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128454  \n'
Mult = 25.8712687 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128394  \n'
Mult = 25.8736193 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128383  \n'
Mult = 25.8728662 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128429  \n'
Mult = 25.8726075 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128414  \n'
Mult = 25.872807 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128418  \n'
Mult = 25.8733697 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128511  \n'
Mult = 25.8733121 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128040  \n'
Mult = 25.8733719 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128473  \n'
Mult = 25.8736514 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128252  \n'
Mult = 25.8746006 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128456  \n'
Mult = 25.8761349 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128564  \n'
Mult = 25.8765599 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128494  \n'
Mult = 25.8761853 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128515  \n'
Mult = 25.8770272 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.131025  \n'
Mult = 25.8788484 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.130242  \n'
Mult = 25.8816028 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.130083  \n'
Mult = 25.8843301 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.130125  \n'
Mult = 25.8867219 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.129903  \n'
Mult = 25.8894538 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128645  \n'
Mult = 25.8923946 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128655  \n'
Mult = 25.8949865 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128542  \n'
Mult = 27.8941849 	b' \n'
Mult = 27.8809294 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127878  \n'
Mult = 27.8573818 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127770  \n'
Mult = 27.8253564 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127913  \n'
Mult = 27.7942656 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127774  \n'
Mult = 27.761749 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128026  \n'
Mult = 27.7322569 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127900  \n'
Mult = 27.698761 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127832  \n'
Mult = 27.6647903 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127732  \n'
Mult = 27.6332784 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127494  \n'
Mult = 27.6022026 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127499  \n'
Mult = 27.5755343 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127723  \n'
Mult = 27.5487168 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127918  \n'
Mult = 27.5215106 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127795  \n'
Mult = 27.4939394 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127768  \n'
Mult = 27.4672426 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127752  \n'
Mult = 27.4429505 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127830  \n'
Mult = 27.4172137 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127840  \n'
Mult = 27.3937032 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127827  \n'
Mult = 27.3711378 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127728  \n'
Mult = 27.3494343 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127698  \n'
Mult = 27.3197037 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127817  \n'
Mult = 27.2955568 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127910  \n'
Mult = 27.276496 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127902  \n'
Mult = 27.256066 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127802  \n'
Mult = 27.2335617 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127725  \n'
Mult = 27.2148551 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127674  \n'
Mult = 27.1971003 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127562  \n'
Mult = 27.1812703 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127585  \n'
Mult = 27.1650582 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127468  \n'
Mult = 27.150143 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127427  \n'
Mult = 27.1385107 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127556  \n'
Mult = 27.1388601 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127641  \n'
Mult = 27.1361482 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127522  \n'
Mult = 27.1314218 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127514  \n'
Mult = 27.1378309 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127449  \n'
Mult = 27.1386852 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127560  \n'
Mult = 27.1285627 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127429  \n'
Mult = 27.1194708 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127261  \n'
Mult = 27.1107987 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127555  \n'
Mult = 27.0984784 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127645  \n'
Mult = 27.0826278 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128002  \n'
Mult = 27.0668641 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127833  \n'
Mult = 27.0493562 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127389  \n'
Mult = 27.0296297 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127454  \n'
Mult = 27.0113659 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127400  \n'
Mult = 26.9959022 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127706  \n'
Mult = 26.9828409 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127672  \n'
Mult = 26.9649096 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127504  \n'
Mult = 26.9469154 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127611  \n'
Mult = 26.9264883 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127649  \n'
Mult = 26.9076093 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127750  \n'
Mult = 26.8860207 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127966  \n'
Mult = 26.8625659 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128190  \n'
Mult = 26.8398017 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127951  \n'
Mult = 26.8168829 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128080  \n'
Mult = 26.7941071 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128226  \n'
Mult = 26.7732204 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128047  \n'
Mult = 26.7489431 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127973  \n'
Mult = 26.7249391 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128069  \n'
Mult = 26.6986719 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128386  \n'
Mult = 26.6756525 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128275  \n'
Mult = 26.6538654 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128469  \n'
Mult = 26.6366066 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128276  \n'
Mult = 26.620235 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128327  \n'
Mult = 26.5976874 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128248  \n'
Mult = 26.5739375 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128353  \n'
Mult = 26.5534279 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128245  \n'
Mult = 26.5353645 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128283  \n'
Mult = 26.5124695 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128457  \n'
Mult = 26.4946772 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128047  \n'
Mult = 26.4751463 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128048  \n'
Mult = 26.4560479 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128017  \n'
Mult = 26.4370665 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128092  \n'
Mult = 26.4153907 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127918  \n'
Mult = 26.396456 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127929  \n'
Mult = 26.3788657 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127863  \n'
Mult = 26.3617417 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127974  \n'
Mult = 26.343983 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127906  \n'
Mult = 26.3276242 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127979  \n'
Mult = 26.3134074 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127990  \n'
Mult = 26.3017627 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128151  \n'
Mult = 26.2877422 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127998  \n'
Mult = 26.2696537 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127929  \n'
Mult = 26.2535698 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.127998  \n'
Mult = 26.2396745 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128247  \n'
Mult = 26.2254281 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128200  \n'
Mult = 26.2118903 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128095  \n'
Mult = 26.1958912 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128240  \n'
Mult = 26.1784099 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128506  \n'
Mult = 26.1598962 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128433  \n'
Mult = 26.1447304 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128430  \n'
Mult = 26.1330038 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128466  \n'
Mult = 26.1121336 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128421  \n'
Mult = 26.092581 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128399  \n'
Mult = 26.0731 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128486  \n'
Mult = 26.0546036 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128651  \n'
Mult = 26.0418551 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128489  \n'
Mult = 26.0300511 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128603  \n'
Mult = 26.0154136 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128509  \n'
Mult = 25.9949895 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128643  \n'
Mult = 25.9803628 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128514  \n'
Mult = 25.9698424 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128625  \n'
Mult = 25.9565323 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128409  \n'
Mult = 25.9412405 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128540  \n'
Mult = 25.9231204 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128546  \n'
Mult = 25.9050037 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128598  \n'
Mult = 25.8859192 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128479  \n'
Mult = 25.8664922 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128589  \n'
Mult = 25.8499344 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128331  \n'
Mult = 25.8316608 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128522  \n'
Mult = 25.8118546 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128531  \n'
Mult = 25.792292 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128550  \n'
Mult = 25.7742525 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128578  \n'
Mult = 25.7597267 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128611  \n'
Mult = 25.7472096 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128558  \n'
Mult = 25.734964 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128562  \n'
